simulation_id,Expected_Rew,Expected_WU,PCronograma,PGestor,Variacao_Capacidade_Base_Pct,SimTime,PercAccomplished,WD,WRemaining
0,4.79307747,6.84779739,4.91393423,29.6101131,21.1261635,55,100,58896.9414,0
0,4.79307747,6.84779739,4.91393423,29.6101131,21.1261635,56,100,58896.9414,0
0,4.79307747,6.84779739,4.91393423,29.6101131,21.1261635,57,100,58896.9414,0
0,4.79307747,6.84779739,4.91393423,29.6101131,21.1261635,58,100,58896.9414,0
0,4.79307747,6.84779739,4.91393423,29.6101131,21.1261635,59,100,58896.9414,0
0,4.79307747,6.84779739,4.91393423,29.6101131,21.1261635,60,100,58896.9414,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,0,0,0,54912
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,1,7.77700281,4637.73193,50306.25
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,2,15.3918982,9275.46484,45887.543
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,3,22.2880421,13913.2383,42008.9883
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,4,28.098608,18554.9688,38686.4648
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,5,34.7806396,23242.9395,34430.2344
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,6,38.3187065,26019.4512,32094.8027
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,7,39.4883842,27447.4355,31192.2246
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,8,40.8196907,28885.0801,30011.6035
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,9,42.3671951,30341.2031,28569.2734
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,10,42.8571434,30798.5547,28112
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,11,42.8571434,30798.5547,28112
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,12,42.8571434,30798.5547,28112
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,13,44.96632,32166.5527,26749.6289
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,14,47.0625839,33534.5508,25410.0742
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,15,51.7329407,35879.7969,23171.3379
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,16,56.1959267,38225.0508,21112.6289
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,17,60.204155,40570.5234,19335.9043
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,18,63.6061249,42919.2539,17796.209
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,19,67.1341782,45286.6992,15856.1514
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,20,70.8825455,47359.0664,13794.0146
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,21,71.4285736,47593.0859,13560
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,22,71.4285736,47593.0859,13560
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,23,72.8352356,48509.0234,12646.0889
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,24,74.2398682,49424.9609,11736.8809
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,25,75.6369095,50340.9023,10839.9863
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,26,77.0121994,51256.8398,9969.96094
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,27,78.3385773,52172.7773,9148.34766
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,28,79.5784378,53088.7227,8397.54004
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,29,80.6997299,54004.7109,7727.90332
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,30,81.6991882,54921.0586,7124.72754
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,31,82.6137619,55839.2266,6545.81934
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,32,83.6746292,56762.8945,5787.28516
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,33,84.896843,57696.0352,4873.18848
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,34,85.7142868,58309.7422,4260
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,35,85.7142868,58309.7422,4260
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,36,85.7142868,58309.7422,4260
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,37,85.7142868,58309.7422,4260
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,38,88.3492508,59096.418,3478.34644
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,39,90.9448242,59883.0898,2723.79761
